product_id,name,category,price
1,iPhone 14,Electronics,88.85
2,Samsung Galaxy S23,Electronics,604.05
3,MacBook Pro 14,Electronics,317.84
4,Sony WH-1000XM5 Headphones,Electronics,920.36
5,Apple Watch Series 9,Wearables,349.81
6,Fitbit Charge 5,Wearables,704.31
7,Dell XPS 13 Laptop,Electronics,968.08
8,iPad Air,Tablets,742.04
9,Bose QuietComfort Earbuds,Audio,642.87
10,Samsung Galaxy Buds,Audio,767.73
11,Canon EOS Rebel Camera,Photography,460.74
12,GoPro HERO10,Photography,1185.26
13,Nike Air Max Shoes,Footwear,1039.07
14,Puma Running Shoes,Footwear,491.64
15,Levi's 501 Jeans,Apparel,362.16
16,Adidas Hoodie,Apparel,233.95
17,Zara T-Shirt,Apparel,1068.56
18,H&M Casual Dress,Apparel,1000.23
19,Gucci Leather Belt,Accessories,418.67
20,Under Armour Shorts,Sportswear,1147.65
21,Harry Potter Book Set,Books,136.86
22,The Lord of the Rings Trilogy,Books,186.52
23,Atomic Habits,Books,111.8
24,Rich Dad Poor Dad,Books,280.77
25,Python Crash Course,Books,1015.92
26,Clean Code,Books,878.68
27,Game of Thrones Box Set,Books,389.86
28,The Lean Startup,Books,1173.81
29,To Kill a Mockingbird,Books,618.52
30,1984,Books,1063.72
31,Ikea Dining Table,Furniture,459.95
32,Sealy Memory Foam Mattress,Furniture,28.55
33,Ikea Chair Set,Furniture,930.18
34,Philips Air Fryer,Kitchen Appliances,884.74
35,NutriBullet Blender,Kitchen Appliances,1058.8
36,Instant Pot Cooker,Kitchen Appliances,609.02
37,Hamilton Beach Toaster,Kitchen Appliances,205.12
38,Keurig Coffee Maker,Kitchen Appliances,141.07
39,Philips LED Desk Lamp,Lighting,402.56
40,Dyson V15 Vacuum Cleaner,Home Appliances,1088.95
41,Wilson Tennis Racket,Sports Equipment,789.21
42,Adidas Football,Sports Equipment,1018.51
43,Spalding Basketball,Sports Equipment,1067.89
44,Yonex Badminton Racket,Sports Equipment,325.19
45,Nike Yoga Mat,Fitness,416.08
46,Reebok Jump Rope,Fitness,1077.81
47,Speedo Swimming Goggles,Sports Accessories,374.01
48,Titleist Golf Balls,Sports Equipment,499.76
49,LEGO Star Wars Set,Toys & Games,580.06
50,Barbie Dreamhouse,Dolls,608.42
51,Hot Wheels Track Set,Toys & Games,1195.82
52,Monopoly Board Game,Board Games,104.58
53,Rubik's Cube,Puzzles,887.0
54,Nerf Elite Blaster,Outdoor Toys,278.63
55,Play-Doh Fun Pack,Arts & Crafts,500.91
56,Fisher-Price Baby Gym,Baby Toys,193.75
57,Disney Princess Doll,Dolls,265.95
58,LEGO Technic Car,Toys & Games,930.11
